"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"4039","Assam","Construction of buildings for community cultural activities","WS/MP18026/2026-2027/225874","CHIRANG(Deputy Commissioner Chirang_IDA)","JOYANTA BASUMATARY","KOKRAJHAR (ST)","27-Jul-2026","Mr MAHANTA NARZARY","Payment Success","750000"
"4040","Assam","Construction of culverts and bridges","WS/MP18026/2026-2027/225875","CHIRANG(Deputy Commissioner Chirang_IDA)","JOYANTA BASUMATARY","KOKRAJHAR (ST)","16-Jul-2026","Mr MAHANTA NARZARY","Payment Success","1125000"
"4041","Odisha","Construction of community centers and community halls","WS/MP18147/2025-2026/232498","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","NABA CHARAN MAJHI","MAYURBHANJ (ST)","17-Jul-2026","BIDYADHARA PATRA","Payment Success","394762"
"4042","Odisha","Construction of community centers and community halls","WS/MP18147/2025-2026/232498","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","NABA CHARAN MAJHI","MAYURBHANJ (ST)","17-Jul-2026","BDO KUSUMI","Payment Success","14542"
"4043","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18120/2026-2027/169230","NANDED(DISTRICT COLLECTOR NANDED_IDA)","AASHTIKAR PATIL NAGESH BAPURAO","HINGOLI","20-Jul-2026","Jai hind penting plumber road v building works majur","Payment Success","1981405"
"4044","Bihar","Construction of rooms and halls in school and colleges","WS/MP418/2026-2027/278098","ARARIA(DISTRICT PLANNING OFFICER ARARIA_IDA)","Pradeep Kumar Singh","ARARIA","16-Jul-2026","BIBI NASRIN","Payment Success","1492019"
"4045","Kerala","Forest conservation infrastructure","WS/MP353/2025-2026/188636","IDUKKI(DISTRICT COLLECTOR IDUKKI_IDA)","Adv Dean Kuriakose","IDUKKI","22-Jul-2026","Biju K Varghese","Payment Success","717530"
"4046","Punjab","Development of playfields and sports grounds","WS/MP18314/2025-2026/262903","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","11-Aug-2026","Goyal Sports And  Trophy House","Payment Success","45000"
"4047","Maharashtra","Construction of community centers and community halls","WS/MP18134/2025-2026/181927","Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA)","BHAUSAHEB RAJARAM WAKCHAURE","SHIRDI(SC)","31-Jul-2026","SHIVSHANKAR MAJOOR SAHAKARI SANSTHA LIMITED","Payment Success","423406"
"4048","Telangana","Construction of common work sheds/ common covered sitting area","WS/MP18191/2026-2027/222890","MAHABUBNAGAR(DISTRICT COLLECTOR MAHABUBNAGAR_3)","ARUNA. D. K","MAHABUBNAGAR","18-Jul-2026","MUNGI NAVEEN REDDY","Payment Success","699583"
"4049","Telangana","Construction of community centers and community halls","WS/MP18191/2024-2025/168738","MAHABUBNAGAR(DISTRICT COLLECTOR MAHABUBNAGAR_3)","ARUNA. D. K","MAHABUBNAGAR","18-Jul-2026","MUNGI NAVEEN REDDY","Payment Success","698391"
"4050","Maharashtra","Street lights","WS/MP18429/2026-2027/207496","NANDED(DISTRICT COLLECTOR NANDED_IDA)","Ravindra Vasantrao Chavan","NANDED","18-Aug-2026","VED ELECTRICALS","Payment Success","499000"
"4051","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18257/2025-2026/200342","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","ABHIJIT GANGOPADHYAY","TAMLUK","29-Jul-2026","AM Construction","Payment Success","298906"
"4052","Maharashtra","Street lights","WS/MP18429/2026-2027/207498","NANDED(DISTRICT COLLECTOR NANDED_IDA)","Ravindra Vasantrao Chavan","NANDED","18-Aug-2026","MAROTI ELECTRICAL","Payment Success","499000"
"4053","Chhattisgarh","Construction of common work sheds/ common covered sitting area","WS/MP18354/2026-2027/269202","SURAJPUR(DISTRICT COLLECTOR Surajpur_IDA)","CHINTAMANI MAHARAJ","SARGUJA(ST)","18-Jul-2026","MR KURWAN GRAM PANCHAYAT KURWAN","Payment Success","74945"
"4054","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/203474","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","25-Jul-2026","Lokesh kumar meena","Payment Success","6440"
