"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"575","Normal/Others","WS/MP015/2023-2024/11758-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous Macadam Road at Third Street in Annai Velu City, Veerapandi Village, Madurai District.(2022-2023)","21-Aug-2023","20-Dec-2023","997642","Physical Inspection"
"576","Normal/Others","WS/MP015/2023-2024/11759-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous Macadam Road at Fourth Street in Annai Velu City, Veerapandi Village, Madurai District.(2022-2023)","21-Aug-2023","22-Dec-2023","997667","Physical Inspection"
"577","Normal/Others","WS/MP015/2023-2024/11760-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous Macadam Road at Fifth Street in Annai Velu City, Veerapandi Village, Madurai District.(2022-2023)","21-Aug-2023","22-Dec-2023","997685","Physical Inspection"
"578","Normal/Others","WS/MP015/2023-2024/11761-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous Macadam Road at Cross Street in Annai Velu City, Veerapandi Village, Madurai District.(2022-2023)","21-Aug-2023","20-Dec-2023","998567","Physical Inspection"
"579","Normal/Others","WS/MP015/2023-2024/11762-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous Macadam Road at Annai Velu City Main Street North Side in Veerapandi Village, Madurai District.(2022-2023)","21-Aug-2023","20-Dec-2023","997847","Physical Inspection"
"580","Normal/Others","WS/MP015/2023-2024/11763-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous Macadam Road at Chellayipuram Main Road in Veerapandi Village, Madurai District.(2022-2023)","21-Aug-2023","22-Dec-2023","998496","Physical Inspection"
"581","Normal/Others","WS/MP015/2023-2024/11764-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous Macadam Road at Annai Velu Main Street South side in Veerapandi Village,Madurai District.(2022-2023)","21-Aug-2023","22-Dec-2023","998496","Physical Inspection"
"582","Normal/Others","WS/MP146/2023-2024/11784-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","JALORE(DISTRICT COLLECTOR JALORE_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","Damrikaran WBM Sadak Jalberi Sadak to Gaushala, Gram Panchayat Dungri, P.S. Chitalwana, Dist. Jalore","21-Aug-2023","22-Sep-2023","1530000","Time Estimation"
"583","Normal/Others","WS/MP202/2023-2024/11798-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","SULTANPUR(DISTRICT MAGISTRATE SULTANPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","Block Lambhua Village Thyauri Ghatampur Uttari me Late Bhagwat Parshad Dubey Ke Khet se Diwakar Tripathi ke Boundri tak 315 meter CC Road Nirman","21-Aug-2023","06-Feb-2024","2030000","Work Completed"
"584","Normal/Others","WS/MP202/2024-2025/11800-Construction of rooms and halls in school and colleges","Uttar Pradesh","Amethi(DISTRICT MAGISTRAE AMETHI_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","Block Gauriganj me Tribhuwan nath Siksha Nikaten Pure Keshari Roghi me 20/25 feet ke two room barmanda Sahit Kary","21-Aug-2023","24-Feb-2025","1200000","Work partially Completed"
