"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"585","Normal/Others","WS/MP202/2023-2024/11802-Lighting of public spaces","Uttar Pradesh","MAU(DISTRICT MAGISTRATE MAU_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","BIkaskhand Doharighat Gram Patjiwa Bela Kasaila Me Shri Paras Gaud Putra Dukhanti Gaud KPass 18 watt 4 Nag LEd Wali Solar Light Ka Karya","21-Aug-2023","15-Mar-2024","119100","Work partially Completed"
"586","Normal/Others","WS/MP146/2023-2024/11804-Construction of rooms and halls in school and colleges","Rajasthan","JAIPUR(DISTRICT COLLECTOR JAIPUR_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","Construction of Porch and class rooms of Government Primary School, Jaipur Heritage, Karbala, Ward No.12, Jaipur City","21-Aug-2023","21-Sep-2023","3000000","Work partially Completed"
"587","Normal/Others","WS/MP202/2026-2027/11814-Lighting of public spaces","Uttar Pradesh","BALLIA(DISTRICT MAGISTRAE BALLIA_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","Shohan Mishra S/o Janki Mishra Harpur Purani Basti Bhartendu Press Wali Gali k Pass 18 watt 4 Nag Wali LED Ka Karya","21-Aug-2023","25-Aug-2026","113000","Sanction"
"588","Normal/Others","WS/MP202/2023-2024/11815-Lighting of public spaces","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","Jila Varansi Ward No 31 hanuman mandir k Pas nariya Gate Par 10 nag Wali 12.5 Meter Uchi Electric High Mast Light Ka Karya","21-Aug-2023","19-Oct-2023","582896.4","Physical Inspection"
"589","Normal/Others","WS/MP202/2023-2024/11816-Lighting of public spaces","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","Jila Varansi Me Karmanbeer Mahadev Nagar Susuwahi Dr Pushpa Dikshit K Ghr k Pass 12.5 meter Uchi 10 nag Wali Electric High Mast Light Ka karya","21-Aug-2023","19-Oct-2023","590920","Physical Inspection"
"590","Normal/Others","WS/MP146/2023-2024/11840-Construction of rooms and halls in school and colleges","Rajasthan","TONK(DISTRICT COLLECTOR TONK_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","Construction of New Class Room at Government Higher Primary School at Gram Panchayat Bagarwa, P.S. Peeplu, Dist. Tonk","21-Aug-2023","22-Dec-2023","500000","Vendor Identification"
"591","Normal/Others","WS/MP015/2023-2024/11862-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous Mecadam road at Golden city Main Road East Side in Chettikulam Village,Madurai District(2022-2023)","21-Aug-2023","22-Dec-2023","997921","Physical Inspection"
"592","Normal/Others","WS/MP015/2023-2024/11863-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous Mecadam road at First street south side in Golden city , Chettikulam Village,Madurai District(2022-2023)","21-Aug-2023","22-Dec-2023","998188","Physical Inspection"
"593","Normal/Others","WS/MP015/2023-2024/11864-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous Mecadam road at Vinayaga Nagar Street Golden city , Chettikulam Village,Madurai District(2022-2023)","21-Aug-2023","22-Dec-2023","998194","Physical Inspection"
"594","Normal/Others","WS/MP015/2023-2024/11865-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous Mecadam road at Deiveni  Nagar Main Road in Golden city , Chettikulam Village,Madurai District(2022-2023)","21-Aug-2023","22-Dec-2023","998175","Physical Inspection"
"595","Normal/Others","WS/MP015/2023-2024/11866-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous Mecadam road at First street in Deiveni  Nagar,Golden city , Chettikulam Village,Madurai District (2022-2023)","21-Aug-2023","22-Dec-2023","998566","Physical Inspection"
"596","Normal/Others","WS/MP015/2023-2024/11867-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous Mecadam road at Ayyanar city Main Road south side in Chettikulam Village,Madurai District (2022-2023)","21-Aug-2023","22-Dec-2023","998870","Physical Inspection"
"597","Normal/Others","WS/MP015/2023-2024/11868-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous Mecadam Road at cross street in Ayyanar city,Chettikulam village, Madurai District. (2022-2023)","21-Aug-2023","22-Dec-2023","998558","Physical Inspection"
"598","Normal/Others","WS/MP015/2023-2024/11869-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous Mecadam Road at Ayyanar City Main Road North side in Chettikulam village, Madurai District.(2022-2023)","21-Aug-2023","22-Dec-2023","998911","Physical Inspection"
"599","Normal/Others","WS/MP015/2023-2024/11870-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous Mecadam Road at First Street North Side in Golden City,  Chettikulam village, Madurai District.(2022-2023)","21-Aug-2023","18-Jan-2024","998621","Physical Inspection"
"600","Normal/Others","WS/MP015/2023-2024/11871-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous Mecadam Road at  Golden City Main Road West Side in Chettikulam village, Madurai District.(2022-2023)","21-Aug-2023","22-Dec-2023","997847","Physical Inspection"
"601","Normal/Others","WS/MP015/2023-2024/11872-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous Macadam Road at First street side in Kailash Nagar,veerapandi village,Madurai District. (SC Area) (2022-2023)","21-Aug-2023","22-Dec-2023","998435","Physical Inspection"
"602","Normal/Others","WS/MP015/2023-2024/11873-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous Macadam Road at Second street in Kailash Nagar,Veerapandi village,Madurai District. (SC Area) (2022-2023)","21-Aug-2023","22-Dec-2023","998184","Physical Inspection"
"603","Normal/Others","WS/MP015/2023-2024/11874-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous Macadam Road at Cross street in Kailash Nagar,Veerapandi village,Madurai District. (SC Area) (2022-2023)","21-Aug-2023","22-Dec-2023","998128","Physical Inspection"
"604","Normal/Others","WS/MP015/2023-2024/11875-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous Macadam Road at Third street East side in Kailash Nagar,Veerapandi village,Madurai District. (SC Area) (2022-2023)","21-Aug-2023","22-Dec-2023","998355","Physical Inspection"
"605","Normal/Others","WS/MP015/2023-2024/11876-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous Macadam Road at First street west side in Kailash Nagar,Veerapandi village,Madurai District. (SC Area) (2022-2023)","21-Aug-2023","22-Dec-2023","998261","Physical Inspection"
"606","Normal/Others","WS/MP015/2023-2024/11877-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous Macadam Road at Third street West side in Kailash Nagar,Veerapandi village,Madurai District. (SC Area)(2022-2023)","21-Aug-2023","22-Dec-2023","998188","Physical Inspection"
