mp_id,parliament_house,mp_name,state,constituency,elected_nominated,allocated_amount
MP_LS_417,Lok Sabha,Saumitra Khan,West Bengal,BISHNUPUR(SC),,147000000.0
MP_LS_418,Lok Sabha,Savitri Thakur,Madhya Pradesh,DHAR(ST),,147000000.0
MP_LS_419,Lok Sabha,Sayani Ghosh,West Bengal,JADAVPUR,,147000000.0
MP_LS_420,Lok Sabha,Selja,Haryana,SIRSA(SC),,147000000.0
MP_LS_421,Lok Sabha,Selvaganapathi T M,Tamil Nadu,SALEM,,147000000.0
MP_LS_422,Lok Sabha,Selvaraj V,Tamil Nadu,NAGAPATTINAM(SC),,147000000.0
MP_LS_423,Lok Sabha,Shafi Parambil,Kerala,VADAKARA,,147000000.0
MP_LS_424,Lok Sabha,Shambhavi,Bihar,SAMASTIPUR(SC),,147000000.0
MP_LS_425,Lok Sabha,Shankar Lalwani,Madhya Pradesh,INDORE,,147000000.0
MP_LS_426,Lok Sabha,Shashank Mani,Uttar Pradesh,DEORIA,,147000000.0
MP_LS_427,Lok Sabha,Shatrughan Sinha,West Bengal,ASANSOL,,147000000.0
MP_LS_428,Lok Sabha,Sher Singh Ghubaya,Punjab,FIROZPUR,,147000000.0
MP_LS_429,Lok Sabha,Shivmangal Singh Tomar,Madhya Pradesh,MORENA,,147000000.0
MP_LS_430,Lok Sabha,Shivraj Singh Chouhan,Madhya Pradesh,VIDISHA,,147000000.0
MP_LS_431,Lok Sabha,Shobha Karandlaje,Karnataka,BANGALORE NORTH,,147000000.0
MP_LS_432,Lok Sabha,Shobhanaben Mahendrasinh Baraiya,Gujarat,SABARKANTHA,,147000000.0
MP_LS_433,Lok Sabha,Shreyas. M. Patel,Karnataka,HASSAN,,147000000.0
MP_LS_434,Lok Sabha,Dharambir Singh,Haryana,BHIWANI MAHENDRAGARH,,147000000.0
MP_LS_435,Lok Sabha,Abhishek Banerjee,West Bengal,DIAMOND HARBOUR,,147000000.0
MP_LS_436,Lok Sabha,Amar Singh,Punjab,FATEHGARH SAHIB(SC),,147000000.0
MP_LS_437,Lok Sabha,Amit Shah,Gujarat,GANDHINAGAR,,147000000.0
MP_LS_438,Lok Sabha,Anil Firojiya,Madhya Pradesh,UJJAIN(SC),,147000000.0
MP_LS_439,Lok Sabha,Arjun Ram Meghwal,Rajasthan,BIKANER(SC),,147000000.0
MP_LS_440,Lok Sabha,Arun Kumar Sagar,Uttar Pradesh,SHAHJAHANPUR(SC),,147000000.0
MP_LS_441,Lok Sabha,B Y Raghavendra,Karnataka,SHIMOGA,,147000000.0
MP_LS_442,Lok Sabha,Benny Behanan,Kerala,CHALAKUDY,,164674770.11
MP_LS_443,Lok Sabha,Bhartruhari Mahtab,Odisha,CUTTACK,,147000000.0
MP_LS_444,Lok Sabha,Chandra Prakash Choudhary,Jharkhand,GIRIDIH,,147000000.0
MP_LS_445,Lok Sabha,Deepak (Dev) Adhikari,West Bengal,GHATAL,,200747364.0
MP_LS_446,Lok Sabha,Gurjeet Singh Aujla,Punjab,AMRITSAR,,147000000.0
MP_LS_447,Lok Sabha,Hanuman Beniwal,Rajasthan,NAGAUR,,147000000.0
MP_LS_448,Lok Sabha,Hibi Eden,Kerala,ERNAKULAM,,162177260.11
MP_LS_449,Lok Sabha,Janardan Singh Sigriwal,Bihar,MAHARAJGANJ_BR,,147000000.0
MP_LS_450,Lok Sabha,Jual Oram,Odisha,SUNDARGARH (ST),,173096756.91
MP_LS_451,Lok Sabha,Jugal Kishore Sharma,Jammu And Kashmir,JAMMU,,147000000.0
MP_LS_452,Lok Sabha,Jyotirmay Singh Mahato,West Bengal,PURULIA,,147000000.0
MP_LS_453,Lok Sabha,Karti P Chidambaram,Tamil Nadu,SIVAGANGA,,159049284.11
MP_LS_454,Lok Sabha,Kumbakudi Sudhakaran,Kerala,KANNUR,,147000000.0
MP_LS_455,Lok Sabha,Ls Tejasvi Surya,Karnataka,BANGALORE SOUTH,,147000000.0
MP_LS_456,Lok Sabha,M K Raghavan,Kerala,KOZHIKODE,,147000000.0
MP_LS_457,Lok Sabha,Narendra Modi,Uttar Pradesh,VARANASI,,162070276.11
MP_LS_458,Lok Sabha,Nk Premachandran,Kerala,KOLLAM,,171477994.11
MP_LS_459,Lok Sabha,Pp Chaudhary,Rajasthan,PALI,,147000000.0
MP_LS_460,Lok Sabha,Rajmohan Unnithan,Kerala,KASARAGOD,,156754633.11
MP_LS_461,Lok Sabha,Sarbananda Sonowal (18Ls),Assam,DIBRUGARH,,147000000.0
MP_LS_462,Lok Sabha,Satish Kumar Gautam,Uttar Pradesh,ALIGARH,,147000000.0
MP_LS_463,Lok Sabha,Shantanu Thakur,West Bengal,BANGAON(SC),,147000000.0
MP_LS_464,Lok Sabha,Sudheer Gupta,Madhya Pradesh,MANDSOUR,,148988014.83
MP_LS_465,Lok Sabha,Suresh Kodikunnil,Kerala,MAVELIKKARA(SC),,172429519.11
MP_LS_466,Lok Sabha,Tapir Gao,Arunachal Pradesh,ARUNACHAL EAST,,147000000.0
MP_LS_467,Lok Sabha,Vijayakumar Vasanth,Tamil Nadu,KANNIYAKUMARI,,171500000.0
MP_LS_468,Lok Sabha,Shrikant Eknath Shinde,Maharashtra,KALYAN,,147000000.0
MP_LS_469,Lok Sabha,Shrimant Chh Udayanraje Pratapsinhamaharaj Bhonsle,Maharashtra,SATARA,,147000000.0
MP_LS_470,Lok Sabha,Shripad Yesso Naik,Goa,NORTH GOA,,147000000.0
MP_LS_471,Lok Sabha,Shrirang Appa Barne,Maharashtra,MAVAL,,147000000.0
MP_LS_472,Lok Sabha,Shyamkumar,Maharashtra,RAMTEK(SC),,147000000.0
MP_LS_473,Lok Sabha,Sivanath Kesineni,Andhra Pradesh,VIJAYAWADA,,147000000.0
MP_LS_474,Lok Sabha,Sk Nurul Islam,West Bengal,BASIRHAT,,49000000.0
